Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Viet Nam,VNM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34363462779.8136,35671286575.7778,36666262766.8568,37980187158.0424,39930474201.495,42871159122.6828,45057981854.8071,47743817832.1663,51871770980.839,56059239339.3434,61014304826.6384,66835362482.4846,73077797034.1306,79035160538.4626,83591107164.2471,87581401291.5701,93525828108.839,99317782863.096,105595482130.707,112880581486.059,121387725604.567,130549157968.493,139658819217.11,149615800998.365,158086705343.275,166620063722.291,177322478338.404,188694468366.268,199081239731.688,210137237901.389,223632762207.56,239258328381.741,255264731908.124,272980590259.187,293358610036.841,314947640805.601,323972192107.065,332245562394.77,360611028837.664,378876063686.799,405742875627.919
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14094687820.7445,26336616250.4397,36658108850.3148,25423812648.5941,6293304974.59403,6471740805.56984,9613369520.41885,9866990236.43587,13180953598.1716,16286433533.3228,20736164458.9505,24657470574.7501,26843700441.5482,27209602050.0452,28683659006.7752,31172518403.3162,32685198808.5549,35064105500.8344,39552513231.9169,45427854693.2554,57633255738.1992,66371664817.0436,77414425532.2452,99130304099.1274,106014659565.214,147201173196.979,172595049183.925,195590661129.249,213708811665.34,233451469642.519,239258328381.741,257096001177.982,281353605986.903,310106478394.659,334365270496.667,346615738537.796,366474752771.009,413445230668.578,433857681378.291,476388230307.175
Viet Nam,VNM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,595.491333343053,603.977495797078,607.58999788783,616.715148033271,635.398203948006,668.323172497837,687.860316254161,713.747210806804,759.910853953724,805.606443630458,861.122422555836,927.625512005765,998.924907248853,1064.77802859908,1110.1126773248,1148.04465210832,1212.19657794381,1273.8052690094,1340.51670460271,1418.74337471509,1510.94449049599,1609.96268313651,1699.67620343393,1788.9485028957,1856.00519883979,1927.13427057454,2027.58184375924,2132.90453762087,2224.11404253256,2320.08431444934,2439.28655744423,2577.56885340113,2715.57887431272,2868.13680013379,3048.28327602145,3241.07648966529,3303.16949807493,3358.21734764714,3617.66311465012,3775.46375555802,4017.74604111554
Viet Nam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,238.647805313403,436.419296772225,595.247488701606,404.559305078888,98.1070172159577,98.7983370311401,143.715270231936,144.549392371677,189.418573584332,229.857787265757,287.802661028593,337.051231790277,361.643884085566,361.350928411167,375.994455900496,404.029784055118,419.205677580901,445.132861817313,497.117089249256,565.452284586212,710.746759994861,807.756645117054,925.640338348717,1163.83195772873,1226.16976051536,1683.16182443979,1950.92504174913,2185.11767654291,2359.51736472828,2546.38464459903,2577.56885340113,2735.0604380416,2956.10992127753,3222.31003125366,3440.90025375434,3534.03953482647,3704.1935590038,4147.69777213621,4323.35031982451,4717.29028732449
Viet Nam,VNM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,398.073085600057,362.556321180275,411.040253311166,69.6887253529435,42.0950981322183,72.5463845950386,32.629184460634,17.4149746297907,16.9523160277603,17.0401954191342,8.69676711743546,6.59740478176147,8.83786412813899,5.73470282940465,3.40882766527606,2.62226478436138,4.69892816201967,7.10960246291481,8.43331213209085,18.8105195707697,8.56894797603766,9.63022561216118,22.6733161746106,6.21562315120568,42.3032672488557,21.4136792818177,9.07766069025038,4.03852363752276,3.69813796808818,-1.71651170749655,1.81953592779914,4.36292014766431,3.62664730027259,2.42322694229267,1.46747814810814,2.88076792900642,4.4428330495189,2.09339091583757,4.1595862115791
Viet Nam,VNM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.67499999999994,3.20952606261374,7.2661980440096,4.11710235771736,-1.71033727851109,-0.43154451172818,3.83082838168467,3.23464817293927,7.75494748709601,8.28457243128677,7.41801715108463,8.34444889773837,23.1154483474477,6.71698269988629,9.20746648778413,18.6777322770707,9.09470339557192,6.59267475899192,4.08455446637617,0.631200905175754,2.66824816969082,3.52025688811617,3.53962805942641,2.7958236745225,3.22093436652514,1.83471554810444,3.15650749963129,3.25289282667662,3.62109273885843
World,WLD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,11069617591005.4,11508322271837.9,12121252080229.7,12728313561021.9,13567463979601.1,14325846687919.5,15101565745898.9,15664168310854.4,16594144447086.3,17584604389649.2,18248797928662.8,19009089222623.9,20063385628672.2,21354308835191.8,21774826198385.9,21912746689404.7,23048102619576.5,23971895619591.4,24957636428863.7,25985800822182.1,26469217870859.4,26973515731398.9,27073129841472.5,27767125612772.9,29071910671778.6,30139921354136.6,31131252465707.9,32288267462665.7,33749475204331.7,34987083262295.4,35945880219087.1,36390873910981.3,37149005453487.6,37851113313325.4,39135896985992,40374390922535.4,41824891712125,43483502334138.3,44715003412067.1,46315964796815.2,48425685628052.2,49412868939567.6,50554835407744.3,52118918453371.3,54465231584489.7,56673544164731.8,59210348113404.5,61823800945165.4,63117398807667,62285101784074.8,65103029475797.8,67276821813552.3,69114292959206.7,71110411922590.2,73338313563659,75621913961646.2,77734481755129.3,80417743987091.5,83050587362222.8,85275610244218,82803280050477.8,88113743893150,91112302917180.8,93798835497645.3,96492690817960.5
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1366488391354.06,1443968549479.04,1544903390848.07,1670354539896.75,1831030283046.23,1995234672640.12,2162707523801.04,2294873084337.8,2479815244885.12,2739123953755.11,3004258440770.47,3319897075453.74,3834213544152.23,4688557691603.01,5419514194142.38,6035142144928.12,6560173647274.55,7416442857108.44,8779661745036.99,10155462903237.9,11452768541637.6,11843441094928.7,11719276657617.9,11962974794875.2,12427957579028,13016982447733.2,15348439146362.6,17472239624529,19524821807843.9,20395813960211,22922751084575,23920903881560.9,25546959069356.8,25974923485795.5,27961448359307.6,31245419629026,31968950237590.7,31870560107975.7,31733749169046.7,32782827769545.3,33898156427205.9,33690417699612.7,34991525564916.9,39243276986261.9,44225384449869.8,47900489808168.9,51923507284496,58525785801185.8,64311729364641.3,60982255960004.4,66811191491614.9,74309709353789.2,75960594595757,78034892841179.2,80054888775431.1,75621913961646.2,76831684012526.2,81839102917044.7,87050964956078.4,88483262418196.6,85912761035231.2,98140475264975.9,102251524725531,106741647821064,110982661180013
World,WLD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3663.60133607672,3757.49055624486,3888.29159725538,3997.50675949066,4172.99519446874,4316.31737985959,4455.93898997768,4528.50499309967,4699.95403476647,4878.08714093374,4958.11885150651,5057.47371736416,5232.40748307238,5459.96805336201,5461.05325760606,5394.47683822855,5572.88400718612,5695.44553318261,5826.55263463377,5959.96896192033,5964.75586370683,5971.65297744192,5886.05258547298,5929.44118559098,6099.80378717708,6213.46773026879,6304.79364272511,6422.93077166655,6595.34370575744,6718.39516299762,6783.2055889084,6753.43776156538,6782.57525009388,6801.90819639893,6925.66162192225,7038.15080503048,7183.18047671902,7359.52415187358,7459.91066703472,7619.75713179924,7858.90796621258,7912.24589263937,7989.62889151096,8131.19308358597,8388.59733771259,8618.44740525166,8890.47332913352,9166.56507078682,9240.5056265252,9005.17592406812,9298.74987325049,9492.82945551876,9630.06477941677,9786.8793911809,9972.4823409961,10161.9445773234,10324.8400705021,10561.100105291,10789.6668089725,10963.6816310515,10541.8118545305,11124.7495292116,11403.9410808157,11631.7164772209,11851.505171614
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,452.253084186565,471.458659222586,495.578743305208,524.598449902349,563.176772281603,601.155818711732,638.138650082703,663.446920048249,702.357250344395,759.851347244496,816.243922926329,883.27704745992,999.939292970036,1198.79202881573,1359.19595292831,1485.7304279419,1586.20808865228,1762.06116583042,2049.67972097619,2329.20448022386,2580.84574495937,2622.01342168238,2547.9240514252,2554.59482699534,2607.60648184783,2683.50402889705,3108.41144802427,3475.65832276632,3815.55297783922,3916.50646692665,4325.66214326506,4439.25408220989,4664.3017809973,4667.73707542885,4948.18171319114,5446.76886240778,5490.48018554204,5394.04933498749,5294.21706064972,5393.3279117337,5501.26421816454,5394.68512526725,5530.02104262965,6122.43446098028,6811.48195762271,7284.31331023763,7796.34931015336,8677.57102707632,9415.35786125182,8816.8105604156,9542.72886249208,10485.1771943036,10583.9966715989,10739.8911620948,10885.7966024868,10161.9445773234,10204.9287763386,10747.764306505,11309.3830773178,11376.0818134476,10937.6846205191,12390.6686716727,12798.1658465319,13236.7163960917,13631.2043097215
