Một số mặt hàng xuất khẩu chủ yếu chia theo Sản phẩm và Năm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Sơ bộ 2024
Cà phê (Triệu đô la Mỹ),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1851,4","2760,2","3674,4","2717,3","3557,4",2671,"3336,6","3500,6","3536,4","2863,8",2742,"3072,7","4056,4","4226,6","5620,4"
